Hora,Potencia_KW,SOH_Pct,Capacity_kWh,SoC_Pct
0,0.0,60.00000000000001,23.28,100.0
1,0.0,60.00000000000001,23.28,100.0
2,0.0,60.00000000000001,23.28,100.0
3,0.0,60.00000000000001,23.28,100.0
4,0.0,60.00000000000001,23.28,100.0
5,0.0,60.00000000000001,23.28,100.0
6,0.0,60.00000000000001,23.28,100.0
7,0.0,60.00000000000001,23.28,100.0
8,0.0,60.00000000000001,23.28,100.0
9,0.0,60.00000000000001,23.28,100.0
10,0.582,60.00000000000001,23.28,100.0
11,0.582,60.00000000000001,23.28,100.0
12,0.582,60.00000000000001,23.28,100.0
13,0.582,60.00000000000001,23.28,100.0
14,0.0,60.00000000000001,23.28,100.0
15,0.0,60.00000000000001,23.28,100.0
16,0.0,60.00000000000001,23.28,100.0
17,0.0,60.00000000000001,23.28,100.0
18,-0.582,60.00000000000001,23.28,97.5
19,-0.582,60.00000000000001,23.28,95.0
20,-0.582,60.00000000000001,23.28,92.5
21,-0.582,60.00000000000001,23.28,90.0
22,0.0,60.00000000000001,23.28,90.0
23,0.0,60.00000000000001,23.28,90.0
24,0.0,60.00000000000001,23.28,90.0
25,0.0,60.00000000000001,23.28,90.0
26,0.0,60.00000000000001,23.28,90.0
27,0.0,60.00000000000001,23.28,90.0
28,0.0,60.00000000000001,23.28,90.0
29,0.0,60.00000000000001,23.28,90.0
30,0.0,60.00000000000001,23.28,90.0
31,0.0,60.00000000000001,23.28,90.0
32,0.0,60.00000000000001,23.28,90.0
33,0.0,60.00000000000001,23.28,90.0
34,0.582,60.00000000000001,23.28,92.5
35,0.582,60.00000000000001,23.28,95.0
36,0.582,60.00000000000001,23.28,97.5
37,0.582,60.00000000000001,23.28,100.0
38,0.0,60.00000000000001,23.28,100.0
39,0.0,60.00000000000001,23.28,100.0
40,0.0,60.00000000000001,23.28,100.0
41,0.0,60.00000000000001,23.28,100.0
42,-0.582,60.00000000000001,23.28,97.5
43,-0.582,60.00000000000001,23.28,95.0
44,-0.582,60.00000000000001,23.28,92.5
45,-0.582,60.00000000000001,23.28,90.0
46,0.0,60.00000000000001,23.28,90.0
47,0.0,60.00000000000001,23.28,90.0
48,0.0,60.00000000000001,23.28,90.0
49,0.0,60.00000000000001,23.28,90.0
50,0.0,60.00000000000001,23.28,90.0
51,0.0,60.00000000000001,23.28,90.0
52,0.0,60.00000000000001,23.28,90.0
53,0.0,60.00000000000001,23.28,90.0
54,0.0,60.00000000000001,23.28,90.0
55,0.0,60.00000000000001,23.28,90.0
56,0.0,60.00000000000001,23.28,90.0
57,0.0,60.00000000000001,23.28,90.0
58,0.582,60.00000000000001,23.28,92.5
59,0.582,60.00000000000001,23.28,95.0
60,0.582,60.00000000000001,23.28,97.5
61,0.582,60.00000000000001,23.28,100.0
62,0.0,60.00000000000001,23.28,100.0
63,0.0,60.00000000000001,23.28,100.0
64,0.0,60.00000000000001,23.28,100.0
65,0.0,60.00000000000001,23.28,100.0
66,-0.582,60.00000000000001,23.28,97.5
67,-0.582,60.00000000000001,23.28,95.0
68,-0.582,60.00000000000001,23.28,92.5
69,-0.582,60.00000000000001,23.28,90.0
70,0.0,60.00000000000001,23.28,90.0
