Ano,DoD_Diario (%),EFC_Acumulado,Capacidade_Final_Ah,SOH_Final_Pct,Perda_SOH_Ano_Pct
1,60.0,219.0,64.232,64.232,15.768
2,60.0,438.0,48.464,48.464,15.768
3,60.0,657.0,32.696,32.696,15.768
4,60.0,876.0,16.927999999999997,16.927999999999997,15.768
5,60.0,1095.0,1.1599999999999966,1.1599999999999966,15.768
