Hora,Potencia_KW,SOH_Pct,Capacity_kWh,SoC_Pct
6569,0.0,47.51087044795641,18.434217733807085,100.0
6570,-10.0,47.41131337894991,18.395589591032564,45.753054757182944
6571,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6572,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6573,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6574,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6575,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6576,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6577,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6578,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6579,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6580,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6581,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6582,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6583,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6584,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6585,0.0,47.41131337894991,18.395589591032564,45.753054757182944
6586,2.0,47.41131337894991,18.395589591032564,56.6252259920476
6587,2.0,47.41131337894991,18.395589591032564,67.49739722691226
6588,2.0,47.41131337894991,18.395589591032564,78.36956846177691
6589,2.0,47.41131337894991,18.395589591032564,89.24173969664156
6590,2.0,47.41131337894991,18.395589591032564,100.0
6591,0.0,47.41131337894991,18.395589591032564,100.0
6592,0.0,47.41131337894991,18.395589591032564,100.0
6593,0.0,47.41131337894991,18.395589591032564,100.0
6594,-10.0,47.41131337894991,18.395589591032564,45.6391438256767
6595,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6596,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6597,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6598,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6599,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6600,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6601,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6602,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6603,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6604,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6605,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6606,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6607,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6608,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6609,0.0,47.41131337894991,18.395589591032564,45.6391438256767
6610,2.0,47.41131337894991,18.395589591032564,56.51131506054136
6611,2.0,47.41131337894991,18.395589591032564,67.38348629540602
6612,2.0,47.41131337894991,18.395589591032564,78.25565753027067
6613,2.0,47.41131337894991,18.395589591032564,89.12782876513532
6614,2.0,47.41131337894991,18.395589591032564,99.99999999999997
6615,0.0,47.41131337894991,18.395589591032564,99.99999999999997
6616,0.0,47.41131337894991,18.395589591032564,99.99999999999997
6617,0.0,47.41131337894991,18.395589591032564,99.99999999999997
6618,-10.0,47.303906768829634,18.353915826305897,45.63914382567667
6619,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6620,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6621,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6622,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6623,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6624,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6625,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6626,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6627,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6628,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6629,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6630,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6631,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6632,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6633,0.0,47.303906768829634,18.353915826305897,45.63914382567667
6634,2.0,47.303906768829634,18.353915826305897,56.536001035479735
6635,2.0,47.303906768829634,18.353915826305897,67.4328582452828
6636,2.0,47.303906768829634,18.353915826305897,78.32971545508586
6637,2.0,47.303906768829634,18.353915826305897,89.22657266488892
6638,2.0,47.303906768829634,18.353915826305897,100.0
6639,0.0,47.303906768829634,18.353915826305897,100.0
6640,0.0,47.303906768829634,18.353915826305897,100.0
6641,0.0,47.303906768829634,18.353915826305897,100.0
6642,-10.0,47.303906768829634,18.353915826305897,45.51571395098467
6643,0.0,47.303906768829634,18.353915826305897,45.51571395098467
